iter	Passed	Remaining
0	139	69374
1	260	64746
2	378	62773
3	501	62245
4	606	60010
5	819	67452
6	1019	71811
7	1152	70854
8	1297	70800
9	1448	70983
10	1791	79632
11	2598	105670
12	3066	114873
13	3268	113463
14	3384	109416
15	3500	105879
16	3615	102730
17	4496	120393
18	5075	128501
19	5746	137915
20	6069	138438
21	6325	137430
22	6530	135428
23	6697	132840
24	6829	129762
25	6962	126931
26	7086	124141
27	7213	121602
28	7361	119567
29	7503	117548
30	7652	115781
31	7816	114321
32	7976	112876
33	8124	111359
34	8268	109854
35	8399	108263
36	8542	106899
37	8700	105775
38	8850	104617
39	8999	103498
40	9144	102374
41	9282	101221
42	9414	100052
43	9564	99125
44	9704	98128
45	9857	97293
46	10011	96496
47	10155	95631
48	10301	94818
49	10433	93902
50	10565	93018
51	10694	92134
52	10832	91363
53	10971	90619
54	11056	89460
55	11193	88750
56	11329	88055
57	11450	87261
58	11579	86553
59	11724	85978
60	11869	85422
61	12015	84884
62	12122	84087
63	12247	83439
64	12375	82818
65	12507	82249
66	12635	81661
67	12770	81127
68	12924	80729
69	13004	79883
70	13136	79374
71	13286	78981
72	13434	78583
73	13571	78126
74	13699	77628
75	13828	77147
76	13961	76698
77	14093	76249
78	14231	75840
79	14341	75294
80	14471	74857
81	14601	74434
82	14747	74092
83	14912	73851
84	15060	73533
85	15214	73242
86	15341	72829
87	15468	72418
88	15628	72171
89	15918	72516
90	16089	72313
91	16502	73186
92	16976	74295
93	17309	74762
94	17645	75226
95	17781	74831
96	17943	74550
97	18318	75142
98	18653	75558
99	18879	75519
100	19020	75141
101	19153	74735
102	19276	74297
103	19408	73901
104	19569	73617
105	19709	73259
106	19881	73021
107	20005	72614
108	20137	72235
109	20300	71976
110	20428	71591
111	20582	71302
112	20849	71405
113	21097	71434
114	21255	71159
115	21396	70829
116	21524	70460
117	21650	70090
118	21777	69725
119	21917	69406
120	22072	69135
121	22220	68846
122	22352	68512
123	22480	68166
124	22600	67801
125	22735	67486
126	22876	67187
127	23009	66870
128	23138	66546
129	23348	66454
130	23533	66288
131	23664	65973
132	23785	65633
133	23901	65283
134	24033	64978
135	24160	64665
136	24292	64367
137	24467	64183
138	24661	64049
139	24825	63837
140	24994	63637
141	25184	63493
142	25367	63328
143	25541	63143
144	25695	62908
145	25828	62625
146	25914	62229
147	26045	61945
148	26196	61710
149	26366	61520
150	26503	61255
151	26642	60997
152	26792	60764
153	26935	60517
154	27083	60281
155	27244	60077
156	27396	59852
157	27515	59558
158	27820	59666
159	27944	59382
160	28080	59126
161	28186	58808
162	28309	58529
163	28433	58253
164	28609	58085
165	28720	57786
166	28828	57485
167	28931	57174
168	29034	56865
169	29137	56561
170	29205	56190
171	29307	55889
172	29413	55597
173	29536	55337
174	29627	55022
175	29743	54755
176	29867	54504
177	29990	54252
178	30104	53986
179	30229	53742
180	30358	53505
181	30482	53260
182	30591	52991
183	30693	52713
184	30816	52471
185	30976	52293
186	31118	52086
187	31250	51861
188	31369	51618
189	31478	51360
190	31584	51097
191	31718	50881
192	31888	50724
193	32010	50491
194	32118	50237
195	32254	50026
196	32404	49840
197	32534	49623
198	32665	49408
199	32807	49210
200	33029	49132
201	33248	49050
202	33427	48906
203	33573	48714
204	33698	48493
205	33825	48275
206	33946	48050
207	34091	47859
208	34211	47634
209	34331	47410
210	34445	47179
211	34552	46939
212	34685	46736
213	34804	46514
214	34915	46283
215	35029	46057
216	35143	45832
217	35251	45601
218	35365	45378
219	35475	45150
220	35577	44913
221	35683	44684
222	35802	44472
223	35906	44241
224	36017	44020
225	36128	43802
226	36234	43577
227	36342	43355
228	36443	43127
229	36552	42909
230	36655	42685
231	36760	42464
232	36878	42259
233	37007	42067
234	37118	41857
235	37228	41645
236	37355	41453
237	37520	41303
238	37698	41168
239	37873	41030
240	38009	40848
241	38126	40646
242	38257	40461
243	38384	40272
244	38510	40082
245	38621	39877
246	38733	39674
247	38839	39466
248	38961	39274
249	39090	39090
250	39211	38898
251	39333	38709
252	39459	38524
253	39577	38330
254	39723	38165
255	39909	38039
256	40114	37929
257	40269	37771
258	40428	37618
259	40618	37493
260	40755	37319
261	40919	37170
262	41054	36995
263	41169	36803
264	41275	36602
265	41385	36406
266	41490	36206
267	41612	36022
268	41737	35841
269	41862	35660
270	41999	35490
271	42133	35317
272	42350	35214
273	42553	35099
274	42680	34920
275	42821	34753
276	42974	34596
277	43140	34450
278	43309	34305
279	43435	34128
280	43579	33963
281	43725	33802
282	43874	33642
283	44005	33468
284	44129	33290
285	44253	33112
286	44374	32933
287	44504	32760
288	44630	32584
289	44765	32416
290	44889	32239
291	45015	32066
292	45138	31889
293	45258	31711
294	45410	31556
295	45553	31395
296	45682	31224
297	45805	31049
298	45910	30862
299	46034	30689
300	46153	30513
301	46293	30351
302	46434	30189
303	46565	30022
304	46692	29852
305	46826	29687
306	46958	29521
307	47086	29352
308	47213	29183
309	47343	29017
310	47473	28850
311	47613	28690
312	47740	28522
313	47861	28350
314	48004	28193
315	48137	28029
316	48285	27874
317	48417	27710
318	48541	27542
319	48658	27370
320	48790	27207
321	48944	27056
322	49086	26898
323	49272	26765
324	49470	26638
325	49612	26480
326	49791	26342
327	49928	26182
328	50053	26015
329	50173	25846
330	50308	25686
331	50447	25527
332	50573	25362
333	50682	25189
334	50806	25024
335	50929	24858
336	51058	24696
337	51184	24532
338	51313	24369
339	51443	24208
340	51568	24045
341	51690	23880
342	51818	23718
343	51944	23556
344	52067	23392
345	52190	23229
346	52320	23069
347	52460	22913
348	52617	22765
349	52743	22604
350	52922	22465
351	53071	22313
352	53230	22166
353	53381	22016
354	53497	21850
355	53646	21699
356	53800	21550
357	53948	21398
358	54105	21250
359	54259	21100
360	54401	20946
361	54517	20782
362	54625	20616
363	54726	20447
364	54830	20279
365	54944	20116
366	55059	19953
367	55170	19789
368	55263	19619
369	55347	19446
370	55429	19273
371	55512	19101
372	55606	18932
373	55697	18764
374	55800	18600
375	55907	18437
376	56011	18274
377	56125	18114
378	56218	17948
379	56300	17779
380	56392	17613
381	56499	17452
382	56591	17287
383	56680	17122
384	56776	16959
385	56867	16794
386	56959	16631
387	57043	16466
388	57156	16309
389	57264	16151
390	57356	15989
391	57439	15825
392	57535	15664
393	57631	15504
394	57709	15340
395	57799	15179
396	57896	15021
397	57976	14858
398	58056	14696
399	58154	14538
400	58252	14381
401	58339	14222
402	58418	14061
403	58502	13901
404	58588	13743
405	58672	13584
406	58752	13424
407	58852	13270
408	58938	13113
409	59029	12957
410	59121	12802
411	59202	12645
412	59288	12489
413	59363	12331
414	59440	12174
415	59554	12025
416	59733	11889
417	59905	11751
418	60004	11599
419	60084	11444
420	60165	11289
421	60283	11142
422	60389	10992
423	60478	10840
424	60567	10688
425	60656	10536
426	60743	10384
427	60839	10234
428	60916	10081
429	60992	9929
430	61076	9777
431	61157	9626
432	61259	9478
433	61366	9332
434	61465	9184
435	61559	9036
436	61650	8887
437	61740	8739
438	61833	8591
439	61940	8446
440	62059	8302
441	62156	8156
442	62279	8013
443	62373	7866
444	62464	7720
445	62556	7574
446	62651	7428
447	62750	7283
448	62841	7137
449	62933	6992
450	63024	6847
451	63116	6702
452	63212	6558
453	63301	6413
454	63394	6269
455	63483	6125
456	63578	5982
457	63676	5839
458	63772	5696
459	63866	5553
460	63958	5410
461	64059	5268
462	64152	5126
463	64245	4984
464	64336	4842
465	64434	4701
466	64531	4560
467	64634	4419
468	64729	4278
469	64820	4137
470	64911	3996
471	65005	3856
472	65096	3715
473	65185	3575
474	65277	3435
475	65367	3295
476	65469	3156
477	65566	3017
478	65660	2878
479	65752	2739
480	65842	2600
481	65932	2462
482	66027	2323
483	66117	2185
484	66212	2047
485	66301	1909
486	66393	1772
487	66541	1636
488	66652	1499
489	66751	1362
490	66847	1225
491	66938	1088
492	67026	951
493	67114	815
494	67201	678
495	67290	542
496	67385	406
497	67477	270
498	67569	135
499	67658	0
